epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,178.701,0.99106,0.71987,1.25648,0.91366,0.72917,0.78302,0.58152,0.88971,0.53025,1.17196,0.000521228,0.000521228,0.000521228
79,180.611,0.96818,0.71986,1.22147,0.94604,0.74358,0.79978,0.58645,0.89159,0.51483,1.17868,0.000509438,0.000509438,0.000509438
80,182.574,0.95548,0.71005,1.24457,0.97456,0.73358,0.79281,0.5698,0.87998,0.53045,1.15831,0.000497649,0.000497649,0.000497649
81,185.071,0.95032,0.6797,1.18299,0.9675,0.73925,0.78893,0.56375,0.84931,0.52299,1.1396,0.00048586,0.00048586,0.00048586
82,187.347,0.93514,0.67005,1.19939,0.96053,0.74314,0.78826,0.57627,0.82519,0.50432,1.13457,0.000474071,0.000474071,0.000474071
83,189.272,0.86387,0.65389,1.16057,0.95263,0.75477,0.78992,0.57811,0.84093,0.49368,1.15528,0.000462281,0.000462281,0.000462281
84,191.447,0.85898,0.61033,1.14046,0.93803,0.73834,0.78018,0.60768,0.76321,0.45893,1.10441,0.000450492,0.000450492,0.000450492
85,193.51,0.88075,0.62348,1.14385,0.91139,0.73866,0.77912,0.60567,0.7669,0.45572,1.09022,0.000438703,0.000438703,0.000438703
86,195.472,0.92889,0.6599,1.1551,0.95186,0.70895,0.77547,0.59229,0.78492,0.46927,1.09912,0.000426914,0.000426914,0.000426914
87,197.809,0.89822,0.62457,1.16034,0.90647,0.71491,0.77148,0.58025,0.79349,0.4648,1.11146,0.000415124,0.000415124,0.000415124
88,200.284,0.91413,0.67419,1.20155,0.92729,0.72041,0.77628,0.59189,0.80128,0.45456,1.11221,0.000403335,0.000403335,0.000403335
89,202.214,0.8701,0.62449,1.16093,0.92896,0.74298,0.77427,0.59834,0.79586,0.44405,1.11645,0.000391546,0.000391546,0.000391546
90,204.158,0.90127,0.63531,1.19555,0.93046,0.74468,0.77522,0.60718,0.80692,0.44385,1.12649,0.000379757,0.000379757,0.000379757
91,206.107,0.89485,0.65522,1.18922,0.91675,0.74385,0.77787,0.59571,0.79421,0.44807,1.10783,0.000367967,0.000367967,0.000367967
92,208.102,0.84323,0.61443,1.12678,0.93178,0.73756,0.79413,0.62534,0.69354,0.4281,1.04646,0.000356178,0.000356178,0.000356178
93,210.338,0.81942,0.56936,1.10385,0.9361,0.73649,0.78838,0.63108,0.66888,0.4191,1.03336,0.000344389,0.000344389,0.000344389
94,212.859,0.80742,0.60783,1.10673,0.98303,0.70833,0.78073,0.62083,0.68096,0.42195,1.0346,0.0003326,0.0003326,0.0003326
95,214.817,0.82835,0.60953,1.15801,0.98347,0.70822,0.78444,0.62004,0.68796,0.41537,1.03985,0.00032081,0.00032081,0.00032081
96,216.98,0.78555,0.58069,1.12234,0.88339,0.76827,0.79187,0.62316,0.72078,0.42808,1.0457,0.000309021,0.000309021,0.000309021
97,218.936,0.84511,0.63889,1.11932,0.90316,0.78292,0.79526,0.6335,0.72045,0.41731,1.03938,0.000297232,0.000297232,0.000297232
98,221.084,0.8005,0.55752,1.10011,0.88631,0.78624,0.79579,0.64027,0.69443,0.39542,1.03067,0.000285443,0.000285443,0.000285443
99,223.327,0.78757,0.59759,1.12132,0.94108,0.78627,0.80033,0.64137,0.65733,0.39057,1.01286,0.000273654,0.000273654,0.000273654
100,225.923,0.7917,0.57687,1.13603,0.91517,0.79167,0.80066,0.66139,0.64084,0.39597,1.00406,0.000261864,0.000261864,0.000261864
101,227.929,0.7974,0.56565,1.14613,0.91127,0.79164,0.80038,0.66285,0.64921,0.39119,1.01332,0.000250075,0.000250075,0.000250075
102,229.959,0.82247,0.57713,1.13394,0.90027,0.79167,0.80022,0.65414,0.65422,0.38975,1.01647,0.000238286,0.000238286,0.000238286
103,231.87,0.73966,0.52439,1.09237,0.89509,0.79167,0.80047,0.65637,0.65475,0.38797,1.01697,0.000226497,0.000226497,0.000226497
104,234.192,0.79212,0.56879,1.11355,0.89943,0.79167,0.80226,0.65342,0.65012,0.37406,1.01294,0.000214707,0.000214707,0.000214707
105,236.256,0.75513,0.54991,1.09511,0.90079,0.79167,0.80277,0.65738,0.64002,0.37735,1.01155,0.000202918,0.000202918,0.000202918
106,238.833,0.74257,0.54293,1.07975,0.90345,0.79167,0.80168,0.65667,0.63757,0.36863,1.00992,0.000191129,0.000191129,0.000191129
107,240.822,0.74722,0.52322,1.09314,0.90549,0.79167,0.80221,0.66491,0.62564,0.36554,1.00162,0.00017934,0.00017934,0.00017934
108,243.06,0.79408,0.57185,1.09649,0.92984,0.79167,0.80266,0.68511,0.58185,0.3641,0.97574,0.00016755,0.00016755,0.00016755
109,245.076,0.79449,0.55704,1.10619,0.92341,0.79548,0.81806,0.68849,0.56567,0.36497,0.96423,0.000155761,0.000155761,0.000155761
110,247.06,0.77315,0.55854,1.09519,0.92216,0.79167,0.81858,0.68881,0.55723,0.36123,0.9565,0.000143972,0.000143972,0.000143972
111,252.497,0.75635,0.55689,1.12639,0.92164,0.79167,0.80362,0.68499,0.54614,0.35436,0.94912,0.000132183,0.000132183,0.000132183
112,254.981,0.6875,0.50158,1.04044,0.92369,0.79151,0.80346,0.68307,0.54374,0.3634,0.94241,0.000120393,0.000120393,0.000120393
113,256.914,0.66192,0.4662,1.02569,0.92365,0.78829,0.80361,0.67793,0.5453,0.35807,0.94264,0.000108604,0.000108604,0.000108604
114,258.899,0.68383,0.46056,1.08048,0.93292,0.80552,0.82094,0.68416,0.53844,0.35783,0.94251,9.68148e-05,9.68148e-05,9.68148e-05
115,260.856,0.70417,0.47051,1.05712,0.93412,0.80515,0.8217,0.68334,0.53271,0.35414,0.94227,8.50255e-05,8.50255e-05,8.50255e-05
116,263.162,0.67391,0.45306,1.09068,0.93371,0.80514,0.82208,0.68184,0.51935,0.35935,0.94047,7.32362e-05,7.32362e-05,7.32362e-05
117,265.545,0.67562,0.47173,1.04441,0.93488,0.80529,0.82134,0.68145,0.51704,0.36104,0.93755,6.1447e-05,6.1447e-05,6.1447e-05
118,267.532,0.66842,0.458,1.06786,0.93543,0.80101,0.81921,0.68452,0.51306,0.35795,0.93602,4.96578e-05,4.96578e-05,4.96578e-05
119,269.499,0.67091,0.4534,1.04248,0.935,0.80049,0.819,0.68646,0.50954,0.35741,0.93601,3.78685e-05,3.78685e-05,3.78685e-05
120,271.675,0.66776,0.4534,1.01985,0.93557,0.8014,0.81621,0.68663,0.51025,0.35222,0.93282,2.60792e-05,2.60792e-05,2.60792e-05
